pcn_code,EMIS,EMIS (I),TPP,VISION,ICB
U57741,546,0,0,0,M2L0M
U57786,312,0,0,0,01G
U57955,0,0,312,0,42D
U57981,0,0,312,0,70F
U58020,546,0,0,0,72Q
U58127,312,0,0,0,B2M3M
U58188,390,0,0,0,14L
U58215,260,0,130,0,07H
U58256,390,0,0,0,A3A8R
U58312,780,0,0,0,93C
U58435,0,0,546,0,71E
U58525,390,0,0,0,92A
U58538,1053,0,0,0,93C
U58600,0,0,312,0,M1J4Y
U58673,0,0,312,0,78H
U58704,0,0,702,0,71E
U58708,156,0,0,0,15A
U58840,0,0,312,0,11J
U58973,78,0,312,0,06K
U59216,156,0,0,0,52R
U59367,234,0,78,0,06N
U59570,429,0,0,0,01K
U59591,0,0,299,0,M1J4Y
U59622,390,0,0,0,14Y
U59961,0,0,546,0,26A
U59980,208,0,0,0,01K
U60057,1248,0,0,0,M2L0M
U60094,1404,0,0,0,72Q
U60098,546,0,0,0,D2P2L
U60113,312,0,0,0,11N
U60176,0,0,390,0,X2C4Y
U60337,546,0,0,0,93C
U60450,468,0,0,0,W2U3Z
U60509,0,0,468,0,15M
U60510,780,0,0,0,01G
U60524,182,52,0,0,72Q
U60622,312,0,0,0,11X
U60757,0,0,234,0,70F
U60843,0,0,156,0,15M
U60845,416,0,0,0,D2P2L
U60865,312,0,0,0,A3A8R
U60916,156,0,0,0,10Q
U60978,390,0,0,0,15M
U61151,702,0,0,0,91Q
U61321,0,0,312,0,15M
U61347,26,0,442,0,92G
U61505,78,0,78,0,15F
U61868,546,0,0,0,00P
U61963,390,0,0,0,36L
U62043,0,0,312,0,11N
U62122,0,0,312,0,M1J4Y
U62148,234,0,0,0,M2L0M
U62213,936,0,0,0,B2M3M
U62251,234,0,0,0,10Q
U62360,0,0,546,0,W2U3Z
U62384,0,0,325,0,03F
U62485,156,0,156,0,26A
U62501,390,0,0,0,15A
U62545,0,0,312,0,92G
U62614,0,0,702,0,W2U3Z
U62853,0,0,390,0,03N
U62975,546,0,0,0,18C
U62999,390,0,0,0,36L
U63047,234,0,0,0,93C
U63072,78,0,234,0,06H
U63129,78,0,312,0,52R
U63186,156,0,0,0,15A
U63233,156,0,0,0,D9Y0V
U63258,156,0,780,0,15M
U63386,78,0,0,0,14Y
U63454,390,0,0,0,02M
U63540,0,0,624,0,X2C4Y
U63565,0,0,390,0,11M
U63770,0,0,234,0,92G
U63843,624,0,0,0,15C
U63844,0,0,312,0,16C
U63948,0,0,390,0,04V
U64003,312,0,0,0,M2L0M
U64053,0,0,390,0,11N
U64148,156,0,0,0,05Q
U64165,0,0,234,0,M1J4Y
U64175,78,0,312,0,02Y
U64232,156,0,0,0,D9Y0V
U64356,0,0,468,0,M1J4Y
U64426,0,0,390,0,04C
U64436,156,0,0,0,00R
U64487,546,0,0,0,01D
U64531,0,0,312,0,15N
U64595,312,0,0,0,14L
U64597,624,0,0,0,01W
U64639,1391,0,0,0,99A
U64705,0,0,312,0,06L
U64748,0,0,312,0,11J
U64827,78,0,0,0,02Y
U64938,0,0,234,0,03N
